"animalID","year","observed","tagsex","firstobsmolt","lastobsmolt","season","firstobsbreed","lastobsbreed","numbreed","firstobsbreeddoy","lastobsmoltdoy","breeddur","tripdur","moltdur","pupID","pupsex","yearborn","age","pupyearborn","firstyearindicator","indices","pupseeneveragain","puprecruited"
10953,2004,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,15,"NA","NA",NA,NA,NA
10953,2005,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,16,"NA","NA",NA,NA,NA
10953,2006,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,17,"NA","NA",NA,NA,NA
10954,1994,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,5,"NA","NA",NA,NA,NA
10954,1997,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
10954,1998,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,9,"NA","NA",NA,NA,NA
10957,1998,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15536,"M",1989,9,"1998","1999",35,0,0
10958,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10966,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13608,"M",1989,6,"1995","1996",32,0,0
10966,1997,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
10966,1999,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,10,"NA","NA",NA,NA,NA
10966,2000,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,11,"NA","NA",NA,NA,NA
10966,2001,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16980,"F",1989,12,"2001","2002",38,0,0
10966,2002,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1270,"M",1989,13,"2002","2003",39,0,0
10966,2003,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,14,"NA","NA",NA,NA,NA
10966,2004,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,15,"NA","NA",NA,NA,NA
10969,2000,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,11,"NA","NA",NA,NA,NA
10971,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12290,"M",1989,4,"1993","1994",30,0,0
10971,1994,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,5,"NA","NA",NA,NA,NA
10971,1995,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14029,"F",1989,6,"1995","1996",32,0,0
10971,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,7,"NA","NA",NA,NA,NA
10971,1997,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
10971,1998,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,9,"NA","NA",NA,NA,NA
10971,1999,"1","F",NA,NA,NA,NA,"1999-01-29",1,29,159,NA,235.041666666667,24,NA,NA,1989,10,"NA","NA",NA,NA,NA
10971,2001,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,17001,"F",1989,12,"2001","2002",38,0,0
10971,2002,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,13,"NA","NA",NA,NA,NA
10971,2003,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2217,"F",1989,14,"2003","2004",40,0,0
10971,2005,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,16,"NA","NA",NA,NA,NA
10971,2006,"B","F","2005-06-14","2005-06-14",2006,"2006-01-31","2006-03-01",19,31,165,29,231.041666666667,0,17831,"M",1989,17,"2006","2007",43,0,0
10975,1997,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
10982,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,6,"NA","NA",NA,NA,NA
10982,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,7,"NA","NA",NA,NA,NA
10982,2000,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,11,"NA","NA",NA,NA,NA
10982,2001,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,12,"NA","NA",NA,NA,NA
10983,1993,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
10983,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,6,"NA","NA",NA,NA,NA
10983,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14766,"M",1989,7,"1996","1997",33,0,0
10983,1997,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
10983,1998,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,9,"NA","NA",NA,NA,NA
10983,2002,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1400,"M",1989,13,"2002","2003",39,0,0
10983,2003,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,14,"NA","NA",NA,NA,NA
10983,2004,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,15,"NA","NA",NA,NA,NA
10983,2005,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,16,"NA","NA",NA,NA,NA
10983,2007,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,18,"NA","NA",NA,NA,NA
11005,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12354,"M",1989,4,"1993","1994",30,0,0
11005,1994,"B","F","1993-03-31","1993-05-05",1994,"1994-01-24","1994-02-14",22,24,125,21,264.041666666667,34.9583333333333,NA,NA,1989,5,"NA","NA",NA,NA,NA
11005,1995,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13968,"F",1989,6,"1995","1996",32,0,0
11007,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
11007,1994,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,5,"NA","NA",NA,NA,NA
11007,1995,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,6,"NA","NA",NA,NA,NA
11016,1994,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,5,"NA","NA",NA,NA,NA
11023,2000,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16622,"F",1989,11,"2000","2001",37,0,0
11023,2001,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16998,"M",1989,12,"2001","2002",38,0,0
11023,2002,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1375,"M",1989,13,"2002","2003",39,0,0
11023,2003,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1820,"F",1989,14,"2003","2004",40,0,0
11023,2004,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,15,"NA","NA",NA,NA,NA
11023,2005,"B","F","2004-06-24","2004-06-24",2005,"2005-01-23","2005-02-26",18,23,176,34,213.041666666667,0,17135,"M",1989,16,"2005","2006",42,0,0
11024,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12314,"F",1989,4,"1993","1994",30,0,0
11024,1994,"B","F","1993-05-05","1993-05-09",1994,"1994-01-21","1994-02-15",26,21,129,25,257.041666666667,4,12621,"F",1989,5,"1994","1995",31,0,0
11043,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12253,"F",1989,4,"1993","1994",30,0,0
11043,1996,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,7,"NA","NA",NA,NA,NA
11043,1997,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
11043,1998,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15587,"M",1989,9,"1998","1999",35,0,0
11043,1999,"1","F",NA,NA,NA,NA,"1999-01-03",3,NA,151,NA,NA,16,NA,NA,1989,10,"NA","NA",NA,NA,NA
11048,1993,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,4,"NA","NA",NA,NA,NA
11048,1994,"B","F","1993-04-12","1993-05-18",1994,"1994-01-14","1994-02-14",12,14,138,31,241.041666666667,36,NA,NA,1989,5,"NA","NA",NA,NA,NA
11048,1995,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,6,"NA","NA",NA,NA,NA
11048,1996,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14922,"F",1989,7,"1996","1997",33,0,0
11048,1997,"1","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,8,"NA","NA",NA,NA,NA
11048,2002,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1989,13,"NA","NA",NA,NA,NA
11048,2003,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1814,"M",1989,14,"2003","2004",40,0,0
11048,2004,"B","F",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2357,"F",1989,15,"2004","2005",41,0,0
